;currencies;news_date;negative_norm;important_norm;disliked_norm;liked_norm;lol_norm;toxic_norm;saved_norm;comments_norm;attention_score
188;ADA;2021-10-03;0.0;0.27273;0.0;0.45455;0.0;0.0;0.0;0.27273;0.016187123155139548
189;ADA;2021-10-04;0.30233;0.09302;0.04651;0.13953;0.18605;0.0;0.04651;0.18605;0.07297210861390561
190;ADA;2021-10-05;0.54545;0.09091;0.18182;0.09091;0.0;0.0;0.09091;0.0;0.013686022260955577
191;ADA;2021-10-07;0.10417;0.1875;0.14583;0.29167;0.04167;0.0;0.02083;0.20833;0.028422506251078977
192;ADA;2021-10-10;0.06667;0.26667;0.02222;0.53333;0.0;0.0;0.02222;0.08889;0.07678378169934465
193;ADA;2021-10-11;0.0;0.41176;0.0;0.58824;0.0;0.0;0.0;0.0;0.013515946598861087
194;ADA;2021-10-13;0.06452;0.24731;0.08602;0.45161;0.06452;0.0;0.0;0.08602;0.07293208883797918
195;ADA;2021-10-14;0.0;0.39286;0.0;0.5;0.03571;0.0;0.03571;0.03571;0.023960543485741725
196;ADA;2021-10-15;0.02381;0.33333;0.02381;0.47619;0.04762;0.0;0.0;0.09524;0.06878026629181624
197;ADA;2021-10-16;0.0;0.0;0.0;0.66667;0.0;0.0;0.0;0.33333;0.004401936915727682
198;ADA;2021-10-17;0.13462;0.03846;0.28846;0.01923;0.15385;0.0;0.01923;0.34615;0.06499860244792681
199;ADA;2021-10-18;0.0;0.33333;0.04762;0.52381;0.0;0.0;0.09524;0.0;0.018678218173609373
200;ADA;2021-10-19;0.24324;0.12162;0.13514;0.17568;0.16216;0.0;0.0;0.16216;0.0858477727188315
201;ADA;2021-10-20;0.0;0.2;0.0;0.6;0.0;0.0;0.0;0.2;0.007853455777008543
202;ADA;2021-10-21;0.0;0.23529;0.0;0.64706;0.0;0.0;0.0;0.11765;0.015696906988551824
203;ADA;2021-10-24;0.07246;0.23188;0.08696;0.4058;0.07246;0.0;0.04348;0.08696;0.03663611989182591
204;ADA;2021-10-27;0.16667;0.0;0.0;0.33333;0.0;0.0;0.5;0.0;0.0016207131965787014
205;ADA;2021-10-28;0.0;0.375;0.0;0.625;0.0;0.0;0.0;0.0;0.003191404148163918
206;ADA;2021-10-31;0.0;0.0;0.0;0.75;0.0;0.0;0.25;0.0;0.0027111929255578017
207;ADA;2021-11-01;0.05;0.3;0.0;0.55;0.05;0.0;0.0;0.05;0.011595101708436622
208;ADA;2021-11-02;0.08642;0.18519;0.11111;0.2963;0.08642;0.0;0.02469;0.20988;0.05140261591869652
209;ADA;2021-11-03;0.06557;0.2459;0.06557;0.40984;0.04918;0.0;0.0;0.16393;0.03376485563670575
210;ADA;2021-11-04;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0016507263979915836
211;ADA;2021-11-05;0.01653;0.27273;0.03306;0.45041;0.04545;0.0;0.0;0.18182;0.13014726452637349
212;ADA;2021-11-06;0.0;0.2439;0.0;0.43902;0.07317;0.0;0.0;0.2439;0.03362479387482354
213;ADA;2021-11-07;0.08;0.10667;0.06667;0.16;0.05333;0.0;0.0;0.53333;0.1100684283554257
214;ADA;2021-11-09;0.03509;0.27193;0.04386;0.55263;0.05263;0.0;0.0;0.04386;0.07066109140631427
215;ADA;2021-11-10;0.02469;0.30864;0.02469;0.44444;0.01235;0.0;0.03704;0.14815;0.08043539058879855
216;ADA;2021-11-11;0.14286;0.28571;0.14286;0.42857;0.0;0.0;0.0;0.0;0.005172275674347281
217;ADA;2021-11-14;0.0;0.25;0.16667;0.33333;0.0;0.0;0.08333;0.16667;0.020368962396712386
